"Name","Module","GraphCmdName","GraphModuleName","AadParamName","GraphParamName","GraphScopesApplication","GraphScopesDelegate","ApiUri"
"Get-AzureADMSApplicationOwner","AzureAD","Get-MgApplicationOwner","Microsoft.Graph.Applications","Top","Top","Application.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","Application.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-AzureADMSApplicationOwner","AzureAD","Get-MgApplicationOwner","Microsoft.Graph.Applications","ObjectId","","Application.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","Application.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-AzureADMSApplicationOwner","AzureAD","Get-MgApplicationOwner","Microsoft.Graph.Applications","All","All","Application.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","Application.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-AzureADMSConditionalAccessPolicy","AzureAD","Get-MgIdentityConditionalAccessPolicy","Microsoft.Graph.Identity.SignIns","PolicyId","","Policy.Read.All","Policy.Read.All",
"Get-AzureADMSDeletedDirectoryObject","AzureAD","Get-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","Id","","Application.Read.All Application.ReadWrite.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All User.Read.All User.ReadWrite.All","Application.Read.All Application.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All User.Read.All User.ReadWrite.All",
"Get-AzureADMSDeletedGroup","AzureAD","Get-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","Filter","Filter","Application.Read.All Application.ReadWrite.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All User.Read.All User.ReadWrite.All","Application.Read.All Application.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All User.Read.All User.ReadWrite.All",
"Get-AzureADMSDeletedGroup","AzureAD","Get-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","Id","","Application.Read.All Application.ReadWrite.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All User.Read.All User.ReadWrite.All","Application.Read.All Application.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All User.Read.All User.ReadWrite.All",
"Get-AzureADMSDeletedGroup","AzureAD","Get-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","Top","Top","Application.Read.All Application.ReadWrite.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All User.Read.All User.ReadWrite.All","Application.Read.All Application.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All User.Read.All User.ReadWrite.All",
"Get-AzureADMSDeletedGroup","AzureAD","Get-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","SearchString","","Application.Read.All Application.ReadWrite.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All User.Read.All User.ReadWrite.All","Application.Read.All Application.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All User.Read.All User.ReadWrite.All",
"Get-AzureADMSDeletedGroup","AzureAD","Get-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","All","All","Application.Read.All Application.ReadWrite.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All User.Read.All User.ReadWrite.All","Application.Read.All Application.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All User.Read.All User.ReadWrite.All",
"Get-AzureADMSGroup","AzureAD","Get-MgGroup","Microsoft.Graph.Groups","Filter","Filter","Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All",
"Get-AzureADMSGroup","AzureAD","Get-MgGroup","Microsoft.Graph.Groups","Id","","Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All",
"Get-AzureADMSGroup","AzureAD","Get-MgGroup","Microsoft.Graph.Groups","Top","Top","Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Group.Read.All Group.ReadWrite.All GroupMember.Read.All",
