"Name","Module","GraphCmdName","GraphModuleName","GraphScopesApplication","GraphScopesDelegate","ApiUri"
"Remove-AzureADMSConditionalAccessPolicy","AzureAD","Remove-MgIdentityConditionalAccessPolicy","Microsoft.Graph.Identity.SignIns","Policy.Read.All, Policy.ReadWrite.ConditionalAccess","Policy.Read.All, Policy.ReadWrite.ConditionalAccess",
"Remove-AzureADMSDeletedDirectoryObject","AzureAD","Remove-MgDirectoryObject","Microsoft.Graph.DirectoryObjects","Application.ReadWrite.All, Group.ReadWrite.All, User.ReadWrite.All","Application.ReadWrite.All, Group.ReadWrite.All, User.ReadWrite.All",
"Remove-AzureADMSGroup","AzureAD","Remove-MgGroup","Microsoft.Graph.Groups","Group.ReadWrite.All","Group.ReadWrite.All",
"Remove-AzureADMSGroupLifecyclePolicy","AzureAD","Remove-MgGroupLifecyclePolicy","Microsoft.Graph.Groups","Directory.ReadWrite.All","Directory.ReadWrite.All",
"Remove-AzureADMSIdentityProvider","AzureAD","Remove-MgIdentityProvider","Microsoft.Graph.Identity.SignIns","IdentityProvider.ReadWrite.All","IdentityProvider.ReadWrite.All",
"Remove-AzureADMSLifecyclePolicyGroup","AzureAD","Remove-MgGroupFromLifecyclePolicy","Microsoft.Graph.Groups","Directory.ReadWrite.All","Directory.ReadWrite.All",
"Remove-AzureADMSNamedLocationPolicy","AzureAD","Remove-MgIdentityConditionalAccessNamedLocation","Microsoft.Graph.Identity.SignIns","Policy.Read.All, Policy.ReadWrite.ConditionalAccess","Policy.Read.All, Policy.ReadWrite.ConditionalAccess",
"Remove-AzureADMSPermissionGrantConditionSet","AzureAD","Remove-MgPolicyPermissionGrantPolicyInclude, Remove-MgPolicyPermissionGrantPolicyExclude","Microsoft.Graph.Identity.SignIns, Microsoft.Graph.Identity.SignIns","Policy.ReadWrite.PermissionGrant","Policy.ReadWrite.PermissionGrant",
"Remove-AzureADMSPermissionGrantPolicy","AzureAD","Remove-MgPolicyPermissionGrantPolicy","Microsoft.Graph.Identity.SignIns","Policy.ReadWrite.PermissionGrant","Policy.ReadWrite.PermissionGrant",
"Remove-AzureADMSRoleAssignment","AzureAD","Remove-MgRoleManagementDirectoryRoleAssignment","Microsoft.Graph.DeviceManagement.Enrolment","EntitlementManagement.ReadWrite.All, RoleManagement.ReadWrite.Directory","EntitlementManagement.ReadWrite.All, RoleManagement.ReadWrite.Directory",
"Remove-AzureADMSRoleDefinition","AzureAD","Remove-MgRoleManagementDirectoryRoleDefinition","Microsoft.Graph.DeviceManagement.Enrolment","RoleManagement.ReadWrite.Directory","RoleManagement.ReadWrite.Directory",
"Remove-AzureADMSScopedRoleMembership","AzureAD","Remove-MgUserScopedRoleMemberOf","Microsoft.Graph.Identity.DirectoryManagement",,,
"Remove-AzureADMSServicePrincipalDelegatedPermissionClassification","AzureAD","Remove-MgServicePrincipalDelegatedPermissionClassification","Microsoft.Graph.Applications","Policy.ReadWrite.PermissionGrant","Policy.ReadWrite.PermissionGrant",
"Remove-AzureADOAuth2PermissionGrant","AzureAD","Remove-MgOauth2PermissionGrant","Microsoft.Graph.Identity.SignIns","DelegatedPermissionGrant.ReadWrite.All, Directory.ReadWrite.All","DelegatedPermissionGrant.ReadWrite.All, Directory.ReadWrite.All",
"Remove-AzureADServiceAppRoleAssignment","AzureAD","Remove-MgServicePrincipalAppRoleAssignment","Microsoft.Graph.Applications","AppRoleAssignment.ReadWrite.All","AppRoleAssignment.ReadWrite.All",
"Remove-AzureADServicePrincipal","AzureAD","Remove-MgServicePrincipal","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Remove-AzureADServicePrincipalKeyCredential","AzureAD","Remove-MgServicePrincipalKey","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.ReadWrite.All","Application.ReadWrite.All, Directory.ReadWrite.All",
"Remove-AzureADServicePrincipalOwner","AzureAD","Remove-MgServicePrincipalOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.ReadWrite.All","Application.ReadWrite.All, Directory.ReadWrite.All",
"Remove-AzureADServicePrincipalPasswordCredential","AzureAD","Remove-MgServicePrincipalPassword","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Remove-AzureADTrustedCertificateAuthority","AzureAD","",,"","",
"Remove-AzureADUser","AzureAD","Remove-MgUser","Microsoft.Graph.Users","DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, User.ReadWrite.All","DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, User.ReadWrite.All",
"Remove-AzureADUserAppRoleAssignment","AzureAD","Remove-MgUserAppRoleAssignment","Microsoft.Graph.Applications","AppRoleAssignment.ReadWrite.All","AppRoleAssignment.ReadWrite.All",
"Remove-AzureADUserExtension","AzureAD","Remove-MgUserExtension","Microsoft.Graph.Users",,,
"Remove-AzureADUserManager","AzureAD","Remove-MgUserManagerByRef","Microsoft.Graph.Users",,,
"Reset-AzureADMSLifeCycleGroup","AzureAD","Invoke-MgRenewGroup","Microsoft.Graph.Groups","Directory.ReadWrite.All, Group.ReadWrite.All","Directory.ReadWrite.All, Group.ReadWrite.All",
"Restore-AzureADDeletedApplication","AzureAD","Restore-MgApplication",,"","",
"Restore-AzureADMSDeletedDirectoryObject","AzureAD","Restore-MgDirectoryObject",,"","",
"Revoke-AzureADSignedInUserAllRefreshToken","AzureAD","Invoke-MgInvalidateUserRefreshToken","Microsoft.Graph.Users.Actions","Directory.ReadWrite.All","Directory.ReadWrite.All, User.ReadWrite",
"Revoke-AzureADUserAllRefreshToken","AzureAD","Invoke-MgInvalidateUserRefreshToken","Microsoft.Graph.Users.Actions","Directory.ReadWrite.All","Directory.ReadWrite.All, User.ReadWrite",
"Select-AzureADGroupIdsContactIsMemberOf","AzureAD","Get-MgContactMemberOf","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Group.Read.All, OrgContact.Read.All","Directory.Read.All, Group.Read.All, OrgContact.Read.All",
"Select-AzureADGroupIdsGroupIsMemberOf","AzureAD","Get-MgGroupMemberOf","Microsoft.Graph.Groups","Group.Read.All, GroupMember.Read.All","Group.Read.All, GroupMember.Read.All",
"Select-AzureADGroupIdsServicePrincipalIsMemberOf","AzureAD","Get-MgServicePrincipalMemberOf","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Select-AzureADGroupIdsUserIsMemberOf","AzureAD","Get-MgUserMemberOf","Microsoft.Graph.Users","Directory.Read.All, Directory.ReadWrite.All, GroupMember.Read.All","Directory.Read.All, Directory.ReadWrite.All, GroupMember.Read.All, User.Read",
"Set-AzureADApplication","AzureAD","Update-MgApplication","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Set-AzureADApplicationLogo","AzureAD","Set-MgApplicationLogo","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Set-AzureADApplicationProxyApplication","AzureAD","",,"","",
"Set-AzureADApplicationProxyApplicationConnectorGroup","AzureAD","",,"","",
"Set-AzureADApplicationProxyApplicationCustomDomainCertificate","AzureAD","",,"","",
"Set-AzureADApplicationProxyApplicationSingleSignOn","AzureAD","",,"","",
"Set-AzureADApplicationProxyConnector","AzureAD","",,"","",
"Set-AzureADApplicationProxyConnectorGroup","AzureAD","",,"","",
"Set-AzureADDevice","AzureAD","Update-MgDevice","Microsoft.Graph.Identity.DirectoryManagement",,"Directory.AccessAsUser.All",
"Set-AzureADDomain","AzureAD","Update-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Set-AzureADGroup","AzureAD","Update-MgGroup","Microsoft.Graph.Groups","Directory.ReadWrite.All, Group.ReadWrite.All","Directory.ReadWrite.All, Group.ReadWrite.All",
"Set-AzureADMSAdministrativeUnit","AzureAD","Update-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All","AdministrativeUnit.ReadWrite.All",
"Set-AzureADMSApplication","AzureAD","Update-MgApplication","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Set-AzureADMSApplicationLogo","AzureAD","Set-MgApplicationLogo","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Set-AzureADMSApplicationVerifiedPublisher","AzureAD","Set-MgApplicationVerifiedPublisher","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Set-AzureADMSAuthorizationPolicy","AzureAD","Update-MgPolicyAuthorizationPolicy","Microsoft.Graph.Identity.SignIns","Policy.ReadWrite.Authorization","Policy.ReadWrite.Authorization",
"Set-AzureADMSConditionalAccessPolicy","AzureAD","Update-MgIdentityConditionalAccessPolicy","Microsoft.Graph.Identity.SignIns","Application.Read.All, Policy.Read.All, Policy.ReadWrite.ConditionalAccess","Application.Read.All, Policy.Read.All, Policy.ReadWrite.ConditionalAccess",
"Set-AzureADMSGroup","AzureAD","Update-MgGroup","Microsoft.Graph.Groups","Directory.ReadWrite.All, Group.ReadWrite.All","Directory.ReadWrite.All, Group.ReadWrite.All",
"Set-AzureADMSGroupLifecyclePolicy","AzureAD","Update-MgGroupLifecyclePolicy","Microsoft.Graph.Groups","Directory.ReadWrite.All","Directory.ReadWrite.All",
"Set-AzureADMSIdentityProvider","AzureAD","Update-MgIdentityProvider","Microsoft.Graph.Identity.SignIns","IdentityProvider.ReadWrite.All","IdentityProvider.ReadWrite.All",
"Set-AzureADMSNamedLocationPolicy","AzureAD","Update-MgIdentityConditionalAccessNamedLocation","Microsoft.Graph.Identity.SignIns","Policy.Read.All, Policy.ReadWrite.ConditionalAccess","Policy.Read.All, Policy.ReadWrite.ConditionalAccess",
"Set-AzureADMSPermissionGrantConditionSet","AzureAD","Update-MgPolicyPermissionGrantPolicyInclude, Update-MgPolicyPermissionGrantPolicyExclude","Microsoft.Graph.Identity.SignIns, Microsoft.Graph.Identity.SignIns",,,
"Set-AzureADMSPermissionGrantPolicy","AzureAD","Update-MgPolicyPermissionGrantPolicy","Microsoft.Graph.Identity.SignIns","Policy.ReadWrite.PermissionGrant","Policy.ReadWrite.PermissionGrant",
"Set-AzureADMSRoleDefinition","AzureAD","Update-MgRoleManagementDirectoryRoleDefinition","Microsoft.Graph.DeviceManagement.Enrolment","RoleManagement.ReadWrite.Directory","RoleManagement.ReadWrite.Directory",
"Set-AzureADServicePrincipal","AzureAD","Update-MgServicePrincipal","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Set-AzureADTenantDetail","AzureAD","Update-MgOrganization","Microsoft.Graph.Identity.DirectoryManagement","DeviceManagementConfiguration.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Organization.ReadWrite.All","DeviceManagementConfiguration.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Organization.ReadWrite.All",
"Set-AzureADTrustedCertificateAuthority","AzureAD","",,"","",
"Set-AzureADUser","AzureAD","Update-MgUser","Microsoft.Graph.Users","DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.ReadWrite.All, User.ManageIdentities.All, User.ReadWrite.All","DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.ReadWrite.All, User.ManageIdentities.All, User.ReadWrite, User.ReadWrite.All",
"Set-AzureADUserExtension","AzureAD","Update-MgUserExtension","Microsoft.Graph.Users",,,
"Set-AzureADUserLicense","AzureAD","Set-MgUserLicense","Microsoft.Graph.Users.Actions","Directory.ReadWrite.All, User.ReadWrite.All","Directory.ReadWrite.All, User.ReadWrite.All",
"Set-AzureADUserManager","AzureAD","Set-MgUserManagerByRef","Microsoft.Graph.Users","Directory.ReadWrite.All, User.ReadWrite.All","Directory.ReadWrite.All, User.ReadWrite.All",
"Set-AzureADUserPassword","AzureAD","Update-MgUserPassword","Microsoft.Graph.Users.Actions",,"Directory.AccessAsUser.All",
"Set-AzureADUserThumbnailPhoto","AzureAD","Set-MgUserPhotoContent","Microsoft.Graph.Users",,"User.ReadWrite",
"Update-AzureADSignedInUserPassword","AzureAD","Update-MgUserPassword","Microsoft.Graph.Users.Actions",,"Directory.AccessAsUser.All",
"Add-AzureADAdministrativeUnitMember","AzureADPreview","",,"","",
"Add-AzureADApplicationOwner","AzureADPreview","New-MgApplicationOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.Read.All","Application.ReadWrite.All, Directory.Read.All",
"Add-AzureADApplicationPolicy","AzureADPreview","",,"","",
"Add-AzureADDeviceRegisteredOwner","AzureADPreview","New-MgDeviceRegisteredOwnerByRef","Microsoft.Graph.Identity.DirectoryManagement",,"Directory.AccessAsUser.All",
"Add-AzureADDeviceRegisteredUser","AzureADPreview","New-MgDeviceRegisteredUserByRef",,"","",
"Add-AzureADDirectoryRoleMember","AzureADPreview","New-MgDirectoryRoleMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","RoleManagement.ReadWrite.Directory","RoleManagement.ReadWrite.Directory",
"Add-AzureADGroupMember","AzureADPreview","New-MgGroupMember","Microsoft.Graph.Groups",,,
"Add-AzureADGroupOwner","AzureADPreview","New-MgGroupOwnerByRef","Microsoft.Graph.Groups","Directory.ReadWrite.All, Group.ReadWrite.All","Directory.ReadWrite.All, Group.ReadWrite.All",
"Add-AzureADMSAdministrativeUnitMember","AzureADPreview","New-MgDirectoryAdministrativeUnitMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All, Directory.ReadWrite.All, Group.ReadWrite.All","AdministrativeUnit.ReadWrite.All, Directory.AccessAsUser.All, Directory.ReadWrite.All, Group.ReadWrite.All",
"Add-AzureADMSApplicationOwner","AzureADPreview","New-MgApplicationOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.Read.All","Application.ReadWrite.All, Directory.Read.All",
"Add-AzureADMScustomSecurityAttributeDefinitionAllowedValues","AzureADPreview","",,"","",
"Add-AzureADMSFeatureRolloutPolicyDirectoryObject","AzureADPreview","",,"","",
"Add-AzureADMSLifecyclePolicyGroup","AzureADPreview","New-MgGroupLifecyclePolicy","Microsoft.Graph.Groups","Directory.ReadWrite.All","Directory.ReadWrite.All",
"Add-AzureADMSPrivilegedResource","AzureADPreview","",,"","",
"Add-AzureADMSScopedRoleMembership","AzureADPreview","New-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement",,,
"Add-AzureADMSServicePrincipalDelegatedPermissionClassification","AzureADPreview","New-MgServicePrincipalDelegatedPermissionClassification","Microsoft.Graph.Applications","Policy.ReadWrite.PermissionGrant","Policy.ReadWrite.PermissionGrant",
"Add-AzureADScopedRoleMembership","AzureADPreview","",,"","",
"Add-AzureADServicePrincipalOwner","AzureADPreview","New-MgServicePrincipalOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.Read.All","Application.ReadWrite.All, Directory.Read.All",
"Add-AzureADServicePrincipalPolicy","AzureADPreview","",,"","",
"Close-AzureADMSPrivilegedRoleAssignmentRequest","AzureADPreview","",,"","",
"Confirm-AzureADDomain","AzureADPreview","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Connect-AzureAD","AzureADPreview","Connect-MgGraph","Microsoft.Graph.Authentication",,,
"Disconnect-AzureAD","AzureADPreview","Disconnect-MgGraph","Microsoft.Graph.Authentication",,,
"Enable-AzureADDirectoryRole","AzureADPreview","New-MgDirectoryRoleTemplate","Microsoft.Graph.Identity.DirectoryManagement",,,
"Get-AzureADAdministrativeUnit","AzureADPreview","",,"","",
"Get-AzureADAdministrativeUnitMember","AzureADPreview","",,"","",
"Get-AzureADApplication","AzureADPreview","Get-MgApplication","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All",
"Get-AzureADApplicationExtensionProperty","AzureADPreview","Get-MgApplicationExtensionProperty","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All",
"Get-AzureADApplicationKeyCredential","AzureADPreview","Get-MgApplication","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All",
"Get-AzureADApplicationLogo","AzureADPreview","Get-MgApplicationLogo","Microsoft.Graph.Applications",,,
"Get-AzureADApplicationOwner","AzureADPreview","Get-MgApplicationOwner","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADApplicationPasswordCredential","AzureADPreview","Get-MgApplication","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All",
"Get-AzureADApplicationPolicy","AzureADPreview","",,"","",
"Get-AzureADApplicationProxyApplication","AzureADPreview","",,"","",
"Get-AzureADApplicationProxyApplicationConnectorGroup","AzureADPreview","",,"","",
"Get-AzureADApplicationProxyConnector","AzureADPreview","",,"","",
"Get-AzureADApplicationProxyConnectorGroup","AzureADPreview","",,"","",
"Get-AzureADApplicationProxyConnectorGroupMembers","AzureADPreview","",,"","",
"Get-AzureADApplicationProxyConnectorMemberOf","AzureADPreview","",,"","",
"Get-AzureADApplicationServiceEndpoint","AzureADPreview","Get-MgServicePrincipalEndpoint","Microsoft.Graph.Applications",,,
"Get-AzureADApplicationSignInDetailedSummary","AzureADPreview","",,"","",
"Get-AzureADApplicationSignInSummary","AzureADPreview","",,"","",
"Get-AzureADAuditDirectoryLogs","AzureADPreview","",,"","",
"Get-AzureADAuditSignInLogs","AzureADPreview","",,"","",
"Get-AzureADContact","AzureADPreview","Get-MgContact","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, OrgContact.Read.All","Directory.Read.All, Directory.ReadWrite.All, OrgContact.Read.All",
"Get-AzureADContactDirectReport","AzureADPreview","Get-MgContactDirectReport","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Group.Read.All, OrgContact.Read.All","Directory.Read.All, Group.Read.All, OrgContact.Read.All",
"Get-AzureADContactManager","AzureADPreview","Get-MgContactManager","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Group.Read.All, OrgContact.Read.All","Directory.Read.All, Group.Read.All, OrgContact.Read.All",
"Get-AzureADContactMembership","AzureADPreview","Get-MgContactMemberOf","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Group.Read.All, OrgContact.Read.All","Directory.Read.All, Group.Read.All, OrgContact.Read.All",
"Get-AzureADContactThumbnailPhoto","AzureADPreview","",,"","",
"Get-AzureADContract","AzureADPreview","Get-MgContract","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADCurrentSessionInfo","AzureADPreview","Get-MgContext","Microsoft.Graph.Authentication",,,
"Get-AzureADDeletedApplication","AzureADPreview","Get-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, User.Read.All, User.ReadWrite.All","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, User.Read.All, User.ReadWrite.All",
"Get-AzureADDevice","AzureADPreview","Get-MgDevice","Microsoft.Graph.Identity.DirectoryManagement","Device.Read.All, Directory.ReadWrite.All, Directory.Read.All","Device.Read.All, Directory.ReadWrite.All, Directory.Read.All",
"Get-AzureADDeviceConfiguration","AzureADPreview","Get-MgDeviceManagementDeviceConfiguration","Microsoft.Graph.DeviceManagement","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All",
"Get-AzureADDeviceRegisteredOwner","AzureADPreview","Get-MgDeviceRegisteredOwner","Microsoft.Graph.Identity.DirectoryManagement","Device.Read.All, Directory.Read.All, Directory.ReadWrite.All","Device.Read.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADDeviceRegisteredUser","AzureADPreview","Get-MgDeviceRegisteredUser","Microsoft.Graph.Identity.DirectoryManagement","Device.Read.All, Directory.Read.All, Directory.ReadWrite.All","Device.Read.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADDirectoryRole","AzureADPreview","Get-MgDirectoryRole","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory",
"Get-AzureADDirectoryRoleMember","AzureADPreview","Get-MgDirectoryRoleMember","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory",
"Get-AzureADDirectoryRoleTemplate","AzureADPreview","Get-MgDirectoryRoleTemplate","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory","Directory.Read.All, Directory.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory",
"Get-AzureADDirectorySetting","AzureADPreview","",,"","",
"Get-AzureADDirectorySettingTemplate","AzureADPreview","",,"","",
"Get-AzureADDomain","AzureADPreview","Get-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Domain.Read.All, Domain.ReadWrite.All","Directory.Read.All, Domain.Read.All, Domain.ReadWrite.All",
"Get-AzureADDomainNameReference","AzureADPreview","Get-MgDomainDomainNameReferenceByRef",,"","",
"Get-AzureADDomainServiceConfigurationRecord","AzureADPreview","Get-MgDomainServiceConfigurationRecord","Microsoft.Graph.Identity.DirectoryManagement","Domain.Read.All, Domain.ReadWrite.All","Domain.Read.All, Domain.ReadWrite.All",
"Get-AzureADDomainVerificationDnsRecord","AzureADPreview","Get-MgDomainVerificationDnsRecord","Microsoft.Graph.Identity.DirectoryManagement","Domain.Read.All, Domain.ReadWrite.All","Domain.Read.All, Domain.ReadWrite.All",
"Get-AzureADExtensionProperty","AzureADPreview","Get-MgDirectoryObjectAvailableExtensionProperty","Microsoft.Graph.DirectoryObjects",,,
"Get-AzureADExternalDomainFederation","AzureADPreview","",,"","",
"Get-AzureADGroup","AzureADPreview","Get-MgGroup","Microsoft.Graph.Groups","Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All","Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All",
"Get-AzureADGroupAppRoleAssignment","AzureADPreview","Get-MgGroupAppRoleAssignment","Microsoft.Graph.Applications","AppRoleAssignment.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","AppRoleAssignment.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADGroupMember","AzureADPreview","Get-MgGroupMember","Microsoft.Graph.Groups","Directory.Read.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All, GroupMember.ReadWrite.All","Directory.Read.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All, GroupMember.ReadWrite.All",
"Get-AzureADGroupOwner","AzureADPreview","Get-MgGroupOwner","Microsoft.Graph.Groups","Directory.Read.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All, GroupMember.ReadWrite.All","Directory.Read.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All, GroupMember.ReadWrite.All",
"Get-AzureADMSAdministrativeUnit","AzureADPreview","Get-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADMSAdministrativeUnitMember","AzureADPreview","Get-MgDirectoryAdministrativeUnitMember","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADMSApplication","AzureADPreview","Get-MgApplication","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All",
"Get-AzureADMSApplicationExtensionProperty","AzureADPreview","Get-MgApplicationExtensionProperty","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All",
"Get-AzureADMSApplicationOwner","AzureADPreview","Get-MgApplicationOwner","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADMSApplicationTemplate","AzureADPreview","",,"","",
"Get-AzureADMSAttributeSet","AzureADPreview","",,"","",
"Get-AzureADMSAuthorizationPolicy","AzureADPreview","Get-MgPolicyAuthorizationPolicy","Microsoft.Graph.Identity.SignIns","Policy.Read.All, Policy.ReadWrite.Authorization","Policy.Read.All, Policy.ReadWrite.Authorization",
"Get-AzureADMSConditionalAccessPolicy","AzureADPreview","Get-MgIdentityConditionalAccessPolicy","Microsoft.Graph.Identity.SignIns","Policy.Read.All","Policy.Read.All",
"Get-AzureADMSCustomSecurityAttributeDefinition","AzureADPreview","",,"","",
"Get-AzureADMSCustomSecurityAttributeDefinitionAllowedValue","AzureADPreview","",,"","",
"Get-AzureADMSDeletedDirectoryObject","AzureADPreview","Get-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, User.Read.All, User.ReadWrite.All","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, User.Read.All, User.ReadWrite.All",
